name,state,address,notes,display_order,status
BLUE SKY HOSPITAL LTD,Lagos,BLUE SKY HOSPITAL LTD,City/Town: Idimu | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
A'S RADIANCE SPECIALIST HOSPITAL,Lagos,"5, Aderu Ajite Street, off Benefactor Street, Bakery Bus stop, AIT Road, Alagbado, Lagos State.",City/Town: Alagbado | LGA: Alimosho | Category: Tier 2 | Service: General,0,active
"STRATEGIC INSIGHT HEALTHCARE, LAGOS",Lagos,"21 raji oladimeji crescent off cmd road, beside PML filling station,magodo GRA PHASE 11",City/Town: Magodo | LGA: Kosofe | Category: Tier 3 | Service: General,0,active
KOLAK HOSPITAL LIMITED,Lagos,"158, SAGAMU ROAD, OPPOSITE LASUSTECH, FIRST GATE, IKORODU, LAGOS STATE.",City/Town: ikorodu | LGA: Ikorodu | Category: Tier 4 | Service: General,0,active
FIRST LINE HOSPITAL AND SERVICES LTD- AMUWO,Lagos,"2ND AVENUE, HOUSE 14, BY 207 ROAD JUNCTION Festac Lagos",City/Town: Festac | LGA: Amuwo- odofin | Category: Tier 3 | Service: General,0,active
FIRST LINE HOSPITAL AND SERVICES LTD- AYOBO,Lagos,142 CAMP DAVIES STREET AYOBO LAGOS,City/Town: Ayobo | LGA: Alimosho | Category: Tier 3 | Service: General,0,active
ST. JOSEPH MEDICAL CENTRE,Lagos,"412 ROAD, GOWON ESTATE, IPAJA, LAGOS",City/Town: Ipaja | LGA: Alimosho | Category: Tier 2 | Service: General,0,active
TOPTEE HEALTHCARE PLUS - Aguda,Lagos,"19, Adekunle Akuye Street, Aguda Surulere",City/Town: Surulere | LGA: Surulere | Category: Tier 3 | Service: General,0,active
ST NICHOLAS HOSPITAL LIMITED - MARYLAND,Lagos,"18, Faramobi Ajike Crescent off Ikorodu Rd., Anthony, Lagos",City/Town: Anthony Village | LGA: Kosofe | Category: Tier 5 | Service: General,0,active
ST NICHOLAS HOSPITAL - SURULERE,Lagos,"1, James Robertson Street, Surulere. Lagos",City/Town: Surulere | LGA: Surulere | Category: Tier 5 | Service: General,0,active
WATERFALLS HOSPITAL AND MATERNITY - IKOTUN,Lagos,"86b igando Road, ikotun",City/Town: Ikotun | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
WATERFALLS HOSPITAL AND MATERNITY - OKOTA,Lagos,"112 Ago round about, okota Lagos",City/Town: Okota | LGA: Isolo/oshod | Category: Tier 1 | Service: General,0,active
REDDINGTON HOSPITAL - LEKKI,Lagos,"15c Admirality Way, Lekki Phase 1",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 4 | Service: General,0,active
CHYGOR-COLE SPECIALIST HOSPITAL,Lagos,"123, Agbe Road, Jibowu Estate, Abule-egba, U-Turn, Lagos State",City/Town: Abule-Egba | LGA: Ifako- Ijaye | Category: Tier 1 | Service: General,0,active
GOODSEED SPECIALIST CLINICS,Lagos,42 Lateef salami street Ajao Estate Isolo Lagos,City/Town: Isolo | LGA: Oshodi Isolo | Category: Tier 2 | Service: General,0,active
MAINLAND HOSPITAL YABA,Lagos,"1, MAINLAND HOSPITAL YABA Lagos.",City/Town: Yaba | LGA: Lagos Mainland | Category: Tier 1 | Service: Referral,0,active
UPWARD HOSPITAL AND SPECIALIST CLINICS,Lagos,"61 waidi ewenla street, idimu lagos.",City/Town: Idimu | LGA: Alimosho | Category: Tier 2 | Service: General,0,active
LIFE FOUNTAIN MEDICAL CENTRE.,Lagos,41 OYEDELE OGUNNIYI STREET ANTHONY VILLAGE LAGOS,City/Town: Anthony Village | LGA: Kosofe | Category: Tier 3 | Service: General,0,active
ALAFIAT HOSPITAL,Lagos,"27, Aina Street, Agiliti Mile 12 Ketu Lagos.",City/Town: Ketu | LGA: Kosofe | Category: Tier 1 | Service: General,0,active
ST. AGNES CATHOLIC MEDICAL CENTRE MARYLAND LAGOS,Lagos,"No 2, Ikorodu Road Maryland Lagos",City/Town: Maryland | LGA: Kosofe | Category: Tier 2 | Service: General,0,active
St Everest Hospital,Lagos,"3, Fatima Bintu Street,Solebo Estate, Ebute Ikorodu",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 2 | Service: General,0,active
THE VINE MEDICAL CENTRE,Lagos,"160, ASIPA ROAD, (MAKINDE JUNCTION), OFF AMULE B/STOP, AYOBO - LAGOS.",City/Town: YOBO | LGA: Alimosho | Category: Tier 3 | Service: General,0,active
FIRST HEALTH SPECIALIST HOSPITAL,Lagos,"33a Abulenla Road, Off Apapa Road",City/Town: Ebute Metta | LGA: Ebute Metta West | Category: Tier 1 | Service: Psychiatry/Mental health,0,active
RAHEEM MEMORIAL HOSPITAL,Lagos,"34,OYEKAN ROAD, OFF AKERELE ROAD, MASHA BUS-STOP, SURULERE, LAGOS,",City/Town: Surulere | LGA: Surulere | Category: Tier 2 | Service: General,0,active
EBUNOLUWA HOSPITAL,Lagos,"11 Gbasemo Street, Olomomeje-Aga",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 2 | Service: General,0,active
M2 SPECIALIST HOSPITAL,Lagos,"5, Adebola street off Adeniran Ogunsanya, Surulere",City/Town: Surulere | LGA: Surulere | Category: Tier 3 | Service: General,0,active
MERCYGATE MEDICAL CENTRE LIMITED,Lagos,"24 Ogunlana Street, Egbeda, Lagos",City/Town: Egbeda | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
OPENDOOR HOSPITAL LTD,Lagos,"4, Owutedo street, off Awori, Ile Epo Ahaji Bus Stop, Idimu-Egbeda Road, Lagos",City/Town: Egbeda | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
CHRIST FOUNDATION HOSPITAL,Lagos,"82, Alhaja Sinotu Street, Morogbo, Lagos",City/Town: Ojo | LGA: Ojo | Category: Tier 1 | Service: General,0,active
ILOGBO CENTRAL HOSPITAL,Lagos,"175,Ilogbo Road, tope-itire b/stop Ajangbadi, Ojo Lagos",City/Town: Ojo | LGA: Ojo | Category: Tier 1 | Service: General,0,active
PURE FORTUNE HOSPITAL - OJO,Lagos,"10, ABBI STREET, RAZAKI BUS-STOP,OFF SHIBIRI ROAD,ILEMBA AWORI,OJO, LAGOS.",City/Town: Ojo | LGA: Ojo | Category: Tier 3 | Service: General,0,active
EMABAL HOSPITAL,Lagos,"51, Ilesanmi street, off alhaji masha street,off adegoke street, Surulere, Lagos.",City/Town: Surulere | LGA: Surulere | Category: Tier 3 | Service: General,0,active
REDEEMED MEDICAL CENTRE - OKOKOMIAKO,Lagos,Elias close off white house bus stop aka road okokomiako,City/Town: Ojo | LGA: Okokomiako | Category: Tier 3 | Service: General,0,active
TRUECARE MODEL HOSPITAL LTD,Lagos,"19 ADEYEMI APENA STREET, BEHIND GENERAL HOSPITAL EPE,LAGOS STATE",City/Town: EPE | LGA: EPE | Category: Tier 1 | Service: General,0,active
SILVERLINE HOPSITALS,Lagos,"12 Ayetoro Road , Old Nepa Office , Via BADEK Filling Station Ayobo",City/Town: Ayobo | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
TREASURE HOSPITAL,Lagos,"7, ARIYO CLOSE, UNITY ESTATE, IBA, LAGOS",City/Town: Iba | LGA: Ojo | Category: Tier 1 | Service: General,0,active
DE LAKELAND IMPERIAL MEDICAL CENTRE,Lagos,"No 180, awolowo way, itamaga ikorodu.",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 2 | Service: General,0,active
AMUWO MEDICAL CENTRE (AMC),Lagos,"Plot 343, House 19 Durbar Road, Amuwo-Odofin mile 2",City/Town: Festac Town | LGA: Amuwo-Odofin | Category: Tier 1 | Service: General,0,active
"IBIJOLA MEDICAL CENTRE, GADDA IBIYE",Lagos,"UNITY ESTATE, IBIJOLA CRESCENT, GADDA IBIYE, BADAGRY LGA, LAGOS STATE.",City/Town: GADDA IBIYE | LGA: Badafry | Category: Tier 1 | Service: General,0,active
IBIJOLA MEDICAL CENTRE - OPIC ESTATE,Lagos,"30, BLOCK C, AREA 4, BY V.I.O/SEA SIDE SCHOOL AXIS, OPIC ESTATE, OGUN STATE.",City/Town: OPIC ESTATE | LGA: Badafry | Category: Tier 1 | Service: General,0,active
ERICON CLINIC AND MATERNITY CARE CENTER,Lagos,"8 LADIPO CLOSE, OLODI-APAPA, LAGOS",City/Town: Apapa | LGA: Ajeromi- Ifelodun | Category: Tier 2 | Service: General,0,active
EL SHADDAI MEDICAL & LABORLATORY LTD - IYANA IBA,Lagos,"Lasu Road, Klm 4, Iyana Shcool B/Stop Iba,",City/Town: Iyana -Iba | LGA: Ojo | Category: Tier 3 | Service: General,0,active
EL SHADDAI MEDICAL & LABORLATORY LTD- SURULERE,Lagos,"30, OGUNGBESAN STR. COKER, AGUDA SURULERE",City/Town: Surulere | LGA: Surulere | Category: Tier 3 | Service: General,0,active
ST TIMOTHY CATHOLIC HOSPITAL,Lagos,"16, OTUNBA STREET, OJODU - LAGOS",City/Town: Ojodu | LGA: IKEJA | Category: Tier 1 | Service: General,0,active
STARCARE INTERNATIONAL HOSPITAL,Lagos,21 mobolaji bank-anthony way ikeja,City/Town: Ikeja | LGA: ikeja | Category: Tier 3 | Service: General,0,active
LIFEVILLE SPECIALIST HOPSITAL,Lagos,"32 etop Okoko St, Isheri Osun, Lagos",City/Town: Isheri | LGA: Isheri | Category: Tier 1 | Service: General,0,active
STEVANS HOSPITAL,Lagos,"17, ORI-OKUTA ROAD, OFF ISAWO RD, AGRIC IKORODU",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 1 | Service: General,0,active
ST. TIMOTHY CATHOLIC HOSPITAL,Lagos,"16, OTUNBA STREET, OJODU - LAGOS",City/Town: Ojodu | LGA: Ikeja | Category: Tier 1 | Service: General,0,active
CHIRON HOSPITAL (ICU & SURGICAL CENTRE),Lagos,Chiron Hospital | Federal Neuropsychiatric Hospital Oshodi Annex by Cappa Busstop along Nitel Road,City/Town: Oshodi | LGA: Oshodi | Category: Tier 3 | Service: ICU & Surgical Referral,0,active
LAGOS UNIVERSITY TEACHING HOSPITAL,Lagos,"Ishaga Rd, Idi-araba 102215, Lagos, Nigeria, Lagos",City/Town: Idi-Araba | LGA: Mushin | Category: Tier 1 | Service: Referral,0,active
JERICHO HOSPITAL - OSHODI,Lagos,"Km 52, Ibeju Lekki Epe Expressway, Opposite Ibeju Lekki L.G.A Secretariat, Igando",City/Town: Oshodi | LGA: Oshodi/isolo | Category: Tier 1 | Service: General,0,active
GENERAL HOSPITAL GBAGADA,Lagos,"1, Hospital Road, Gbagada",City/Town: Gbagada | LGA: Kosofe | Category: Tier 1 | Service: General,0,active
LIFESHADE HOSPITAL,Lagos,"3, Osholigbehin street,beside mobile filling station,oke ota ona,ikorodu,Lagos",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 2 | Service: General,0,active
MARIGOLD HOSPITAL AND CRITICAL CARE CENTRE,Lagos,"12/14 Adenitis Adefioye Street, Kilo, Surulere, Lagos.",City/Town: Surulere | LGA: Surulere | Category: Tier 5 | Service: General,0,active
Rev FR JOHN BURKE MEMORIAL HOSPITAL /MATERNITY,Lagos,"Inside NO 1 St. Ferdinand Catholic Church, Boys' Town, Ipaja, Lagos",City/Town: Ipaja | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
MOTAYO HOSPITAL,Lagos,"3,owodunni street, off amore , off toyin street, ikeja",City/Town: Ikeja | LGA: Ikeja | Category: Tier 3 | Service: General,0,active
DUCHESS INTERNATIONAL HOSPITAL,Lagos,"22, joel Ogunnaike street,Ikeja GRA",City/Town: IKEJA | LGA: IKEJA | Category: International Plan | Service: General,0,active
ST. LOUIS MEDICAL CENTER - APAPA,Lagos,1 ADO AVENUE APAPA LAGOS,City/Town: Apapa | LGA: Apapa | Category: Tier 2 | Service: General,0,active
QUEEN STELLA SPECIALIST HOSPITAL,Lagos,20 WAIDI ADEYEMI STREET BYARAROMI BUS STOP AKESAN IGANDO,City/Town: Igando | LGA: Alimosho | Category: Tier 4 | Service: General,0,active
THE BROOKHAVEN HOSPITAL,Lagos,"38b Ajanaku Street off Salvation Road, Opebi",City/Town: Ikeja | LGA: Ikeja | Category: Tier 3 | Service: General,0,active
SAMAS HOSPITAL,Lagos,"IPAJA AYOBO ROAD,IGBOGILA BUS STOP,IPAJA,LAGOS.",City/Town: Ipaja | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
KINGSWORD HOSPITAL,Lagos,"No 1, Oyeyemi street Akute-Ajuwon Road. Akute",City/Town: Akute-Ajuwon | LGA: Ifo | Category: Tier 1 | Service: General,0,active
Quality Medicare International,Lagos,"1, Ekololu street behind GTBank off itire road, surulere, lagos state",City/Town: Surulere | LGA: Surulere | Category: Tier 1 | Service: General,0,active
ZETA DENTAL,Lagos,"289 BORNO WAY, YABA, LAGOS",City/Town: Yaba | LGA: LAGOS MAINLAND | Category: Tier 1 | Service: General,0,active
PINECREST SPECIALIST HOSPITAL,Lagos,"4C OLUDEGUN AVENUE,OFF INTERNATIONAL AIRPORT ROAD, MAFOLUKU,OSHODI, LAGOS",City/Town: Oshodi | LGA: oshodi isolo | Category: Tier 1 | Service: General,0,active
PRECIOUS GIFT MEDICAL,Lagos,"NO 81, ADENEKAN STREET ALAKUKO LAGOS",City/Town: Alakuko | LGA: Ifako- Ijaye | Category: Tier 1 | Service: General,0,active
BASE SPECIALIST HOSPITAL,Lagos,22 DEMURIN ROAD BY MASCARA JUNCTION KETU ALAPERE . LAGOS,City/Town: Ketu | LGA: Kosofe | Category: Tier 1 | Service: General,0,active
SASCO HOSPITAL LIFE FIRST,Lagos,"6, Akinyo lane, Opposite Sosaid Charity Home, Off Mechanic Bus stop, Awodi Ora, Olodi Apapa, Lagos",City/Town: Apapa | LGA: Ajeromi ifelodun | Category: Tier 1 | Service: General,0,active
EVER LIFE HOSPITAL,Lagos,"NO. 3 PETER EDOSO STREET, PAKO IYANA ERA LAGOS.",City/Town: OJO IJANKIN | LGA: Ojo | Category: Tier 2 | Service: General,0,active
"MEDIPLUS PREMIER HOSPITAL – IKORODU,",Lagos,"8, Ogbodu Avenue, Off Odo Nla Road, Odogunyan Bus Stop, Ikorodu, Lagos.",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 1 | Service: General,0,active
MERCY THOMA OREDUGBA MEDICAL & DENTAL CLINIC,Lagos,"8, mogaji street ijeshatedo surulere",City/Town: Surulere | LGA: Surulere | Category: Tier 1 | Service: General,0,active
MAZAF MEDICAL CENTRE,Lagos,"8,Macaulay Street Off Olorunsogo Mushin Lagos",City/Town: Mushin | LGA: Mushin | Category: Tier 1 | Service: General,0,active
ABSOLUTE CARE HOSPITAL - LAGOS,Lagos,"2 MUSARI APENA STREET, BEESAM IKEJA",City/Town: Ikeja | LGA: Ikeja | Category: Tier 1 | Service: General,0,active
HEILUNG KREUZ HOSPITAL,Lagos,"KM 42 Lekki-epe expressway, Ologufe bus stop (Savannah Supermarket Building), Awoyaya, AJAH Lagos",City/Town: Awoyaya | LGA: Ibeju - Lekki | Category: Tier 1 | Service: General,0,active
HALLELUYAH HEALTHSOULTIONS HOSPITAL,Lagos,"2, Owodunni street, Liasu road, Egbe, ikotunLagos.",City/Town: Egbe | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
VICTORIA MEMORIAL CLINIC AND MATERNITY MOROGBO - AGBARA,Lagos,"BEHIND FOURSQUARE GOSPEL CHURCH,MOROGBO,BADAGRY LGA,LAGOS",City/Town: Morogbo | LGA: BADAGRY | Category: Tier 1 | Service: General,0,active
ISUTI MEDICAL CENTRE,Lagos,"16, Steve Igbason Street Egan, Lagos",City/Town: EGAN | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
HEALING VIRTUES HOSPITAL,Lagos,"21 Odubakin St, Baruwa,Ipaja, Lagos 102213, Lagos",City/Town: Ipaja | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
VICTORY LIFE SPECIALIST HOSPITAL,Lagos,"PLOT 15, ILUPEJU ESTATE, ABULE-EKO, IJEDE, IKORODU, LAGOS STATE",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 1 | Service: General,0,active
AMAZING HEART CENTRE (SPECIALIST HOSPITAL),Lagos,"23, Bishop Crowther Street Off Akerele Street Surulere Lagos",City/Town: Surulere | LGA: Surulere | Category: Tier 1 | Service: Referrals (CARDIOLOGY),0,active
PRIESTHOOD HOSPITAL,Lagos,"1, Poiki junction Lajo Ikorodu",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 1 | Service: General,0,active
FAMACARE CENTRE LIMITED - EGBEDA,Lagos,"108 Akowonjo road, vulcanizer bus stop Egbeda",City/Town: Egbeda | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
FAMACARE CENTRE LIMITED - ABULE EGBA,Lagos,"26 Amusan street, Ifak Ijaiye, Abulle Egba Lagos",City/Town: Abule Egba | LGA: Alimosho | Category: Tier 1 | Service: General,0,active
TOLA CRESCENT MEDICAL CENTRE,Lagos,"94, FINBARR COLLEGE ROAD, AKOKA",City/Town: Akoka | LGA: Shomolu | Category: Tier 1 | Service: General,0,active
HOUSE OF JULIUS HOSPITAL,Lagos,"57, Murtala Muhammed Int’l Airport Road Ajao Estate, Isolo, Oshodi, Lagos",City/Town: Isolo Oshodi | LGA: Isolo Oshodi | Category: Tier 1 | Service: General,0,active
CHILDKID CHILDREN HOSPITAL,Lagos,"No. 5, Ramat Crescent By Alhaja Abass Street Ogudu, Ojota Lagos",City/Town: Ogudu | LGA: Kosofe | Category: Tier 1 | Service: Paediatrics,0,active
ABBYS PAEDIATRICS CARE,Lagos,"3, REDEMPTION CLOSE, OFF SOMIDE ODUJINRIN STREET, OMOLE PHASE 2, LAGOS",City/Town: Omole Phase 2 | LGA: Kosofe | Category: Tier 3 | Service: Paediatrics,0,active
X-SERVE CLINICS - SURULERE,Lagos,"3, Godwin Okigbo Street, End of Alhaji Masha Bridge Masha ,Surulere",City/Town: Surulere | LGA: Surulere | Category: Tier 3 | Service: Paediatrics,0,active
LIFELINE CHILDREN S HOSPITAL SURULERE,Lagos,"133 Ogunlana Dr, Surulere, Lagos",City/Town: Surulere | LGA: Surulere | Category: Tier 3 | Service: Paediatrics,0,active
ADETULA OPTICAL SERVICES - IKEJA,Lagos,"18, Ajao Road off ADENIYI JONES, IKEJA",City/Town: Adeniyi Jones | LGA: Ikeja | Category: Tier 1 | Service: Optical; also: Dental,0,active
OXYBELLE EYE CLINIC,Lagos,"NO 37 ADENIYI JONES AVENUE, IKEJA",City/Town: Adeniyi Jones | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
BERACCA EYE CLINIC LTD - IKEJA,Lagos,"74, ADENIYI JONES AVENUE, IKEJA",City/Town: Adeniyi Jones | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
CATHEM EYE HOSPITAL,Lagos,"107B, ADENIYI JONES AVENUE,IKEJA, LAGOS",City/Town: Adeniyi Jones | LGA: Ikeja | Category: Tier 3 | Service: Optical,0,active
METROEYES LIMITED AGBARA,Lagos,"Sokoto/Atan Road, Opposite Evans bus stop by NUPENG office, Agbara, Ogun State",City/Town: Agbara | LGA: Badagry | Category: Tier 1 | Service: Optical,0,active
SPECMAKERS VISION AND EYE HEALTH CENTRE- AGBARA,Lagos,"Suit G Agbara Estate Shopping mall, Korogboji. Beside Beach town supermarket and Stanbic bank",City/Town: Agbara | LGA: Ojo | Category: Tier 1 | Service: Optical,0,active
VISION CAPITAL EYE HOSPITAL AJAO,Lagos,7A Asa Afariogun Ajao estate,City/Town: Ajao Estate | LGA: Amuwo-Odofin | Category: Tier 1 | Service: Optical,0,active
ADETULA OPTICAL SERVICES - AKOWONJO,Lagos,"46,SHASHA ROAD AKOWONJO, LAGOS",City/Town: Akowonjo | LGA: Alimosho | Category: Tier 1 | Service: Optical,0,active
EYE MASTERS EYE CLINIC - ALABA,Lagos,"ICHIDA MALL, 126B ALABA INTERNATIONAL MARKET ROAD, SONY BUS STOP, ALABA",City/Town: Alaba | LGA: Ojo | Category: Tier 1 | Service: Optical,0,active
CHOICE OPTICAL AND SURGICAL SERVICES LIMITED - IKEJA,Lagos,"34, Allen Avenue, Ikeja",City/Town: Allen Avenue | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
RADIANT PROFESSIONAL EYE CARE CENTRE - IKEJA,Lagos,"103 Allen Avenue, Ikeja",City/Town: Allen Avenue | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
MEGA VISION - IKEJA,Lagos,"15, ALLEN AVENUE, IKEJA LAJOS",City/Town: Allen Avenue | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
VIEWPOINT SPECIALIST EYE CENTRE FESTAC,Lagos,Kingdom Plaza Suite 15 and 17 Plot 784 Festac Link Road Opposite Cooperation Estate Amuwo Odofin,City/Town: Festac | LGA: Amuwo Odofin | Category: Tier 1 | Service: Optical,0,active
IHOUSE OPTICAL AND DENTAL CLINIC LTD SURULERE,Lagos,"1 point road ploysonic mall apapa, lagos",City/Town: Apapa | LGA: Apapa | Category: Tier 1 | Service: Optical,0,active
DE KINGS EYES CLINIC - OKO AFO (BADAGRY),Lagos,"13 Ilogbo Eremi Road, Opposite Araromi Senior Secondary School, Oko Afor, Badagry",City/Town: Badagry | LGA: Badagry | Category: Tier 1 | Service: Optical,0,active
ST EDMUNDS CLINIC & EYE HOSPITAL LTD - EBUTE-META,Lagos,"27A Jones Street, Off Apapa Road, Near Railway Guest House, Ebute Metta",City/Town: Ebute-metta | LGA: LagosIsland | Category: Tier 1 | Service: Optical,0,active
MEGA VISION - EGBEDA,Lagos,"142, Akowonjo road, subo bus stop, Egbeda",City/Town: Egbeda | LGA: Alimosho | Category: Tier 1 | Service: Optical,0,active
DE KINGS EYES CLINIC - EJIGBO,Lagos,"139 Idimu Road, Ejigbo",City/Town: Ejigbo | LGA: Oshodi-Isolo | Category: Tier 1 | Service: Optical,0,active
FAITH EYE Q,Lagos,"5,NNPC Road Ejigbo",City/Town: Ejigbo | LGA: Oshodi-Isolo | Category: Tier 1 | Service: Optical,0,active
DE KINGS EYES CLINIC - EPE,Lagos,"Sun Fash Plaza, Roundabout Bus Stop, Epe",City/Town: Epe | LGA: Epe | Category: Tier 1 | Service: Optical,0,active
CREDIBLE EYE CARE LTD,Lagos,"FESTAC TOWN- HOUSE 7, 200 ROAD, 2ND AVENUE",City/Town: Festac Town | LGA: Amuwo-Odofin | Category: Tier 1 | Service: Optical,0,active
METRO EYES GBAGADA,Lagos,"32, Diya Street, Iyana Hospital Bus Stop, Ifako, Gbagada, Lagos",City/Town: Ifako | LGA: Kosofe | Category: Tier 2 | Service: Optical,0,active
FARATORI EYE CENTRE,Lagos,"187 Igbosere Road Opposite High Court, Lagos Island",City/Town: Igbosere | LGA: LagosIsland | Category: Tier 1 | Service: Optical,0,active
AIREN EYE CENTRE,Lagos,"AFRIGLOBAL ANNEX BUILDING, N0 71, MOBOLAJI BANK ANTHONY WAY, IKEJA",City/Town: Ikeja | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
EYE FOUNDATION HOSPITAL - LAGOS,Lagos,"27, Isaac John Street, G.R.A Ikeja, Lagos, Nigeria",City/Town: Ikeja | LGA: Ikeja | Category: Tier 5 | Service: Optical,0,active
EYE MASTERS EYE CLINIC - IKEJA,Lagos,"GOLFVIEW HOTEL, 12 GENERAL ADEYINKA ADEBAYO STREET FORMERLY WORKS ROAD, GRA IKEJA",City/Town: Ikeja | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
HAVEN OPTICAL CLINIC,Lagos,"40B, AJANAKU OFF SALVATION ROAD OPEBI IKEJA LAGOS Nearest Bus Stop:Salvation Bus",City/Town: Ikeja | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
ICONIC EYECARE CLINIC,Lagos,"NO 40B AJANAKU STREET, OFF SALVATION BUS STOP, OPEBI.",City/Town: Ikeja | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
OPTOMAX VISION EYECARE,Lagos,"NO 6, AROMIRE AVENUE, SUITE B1, OJUOLOPE PLAZA, IKEJA",City/Town: Ikeja | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
SOLID ROCK HOSPITAL EYE CLINIC,Lagos,"6, Akinsanya Street, Ojodu",City/Town: Ikeja | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
ULTIMATE EYE CLINIC - IKEJA,Lagos,"Alphon House, 50/52 Toyin Street, Opebi, Ikeja",City/Town: Ikeja | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
DE KINGS EYES CLINIC - IKORODU,Lagos,"28 Fatuga Onamade Street, Off Kas Avenue, Behind Sabo Market, Sabo-Ikorodu, Lagos State.",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 1 | Service: Optical,0,active
EYE MASTERS EYE CLINIC - POLY IBADAN,Lagos,"IBADAN PILYTECHNIC CLINC, IBADAN, OYO STATE",City/Town: Ikorodu | LGA: Afijio | Category: Tier 1 | Service: Optical,0,active
EYELAND DIAGNOSTIC EYE CLINIC,Lagos,"90, Awolowo way By Erunwe Junction Oke Ota-ona Ikorodu Lagos.",City/Town: Ikorodu | LGA: Ikorodu | Category: Tier 1 | Service: Optical,0,active
FIDEI EYE CENTRE LIMITED,Lagos,"69 Lagos Road, Agric Bus stop, Ikorodu. Lagos",City/Town: Ikorodu | LGA: Surulere | Category: Tier 1 | Service: Optical,0,active
1ST CONTACT EYE CLINIC,Lagos,"73 Coker Road off Town Planning, Ilupeju lagos",City/Town: Ilupeju | LGA: Mushin | Category: Tier 1 | Service: Optical,0,active
VIEWPOINT SPECIALIST EYE CENTRE ILUPEJU,Lagos,"43 COKER ROAD BESIDE HALCYON INTERNATIONAL SCHOOL, ILUPEJU. LAGOS",City/Town: Ilupeju | LGA: Mushin | Category: Tier 1 | Service: Optical,0,active
ACRIVISION EYECARE,Lagos,2 Godwin Omonua street ireakari Estate Isolo by Bayo Olumide junction,City/Town: Ire Akari Estate | LGA: Oshodi-Isolo | Category: Tier 1 | Service: Optical,0,active
EYE MASTERS EYE CLINIC - ISOLO,Lagos,"73 ISOLO MUSHIN ROAD, ISOLO LAGOS",City/Town: Isolo | LGA: Oshodi-Isolo | Category: Tier 1 | Service: Optical,0,active
DE KINGS EYES CLINIC - OWORONSHOKI,Lagos,"12 Oduduwa Road, Lafarge Cement Building, Car Wash Bus Stop, Iyana-Oworo, Lagos State",City/Town: Iyana-Oworo | LGA: Kosofe | Category: Tier 1 | Service: Optical,0,active
VISION CAPITAL EYE MAGODO,Lagos,"8,jubilee cmd road,magodo",City/Town: Magodo | LGA: Kosofe | Category: Tier 1 | Service: Optical,0,active
EYEPLUS OPTHALMICS NIG LTD,Lagos,"334,IKORODU ROAD, BY IDI-IROKO BUS-STOP, MARYLAND, LAGOS STATE",City/Town: Maryland | LGA: Kosofe | Category: Tier 1 | Service: Optical,0,active
MERIDIEM EYE CLINIC,Lagos,"LAMLAT HOUSE 270 IKORODU ROAD, OBANIKORO",City/Town: Obanikoro | LGA: Shomolu | Category: Tier 1 | Service: Optical,0,active
ADETULA OPTICAL SERVICES - AGUDA OGBA,Lagos,"44, YAYA ABATAN STREET AGUDA OGBA",City/Town: Ogba | LGA: Ifako-Ijaye | Category: Tier 1 | Service: Optical,0,active
OCUVILLE EYE CENTRE,Lagos,"95, ogudu road, marble house, by abule soko b/stop, ogudu, lagos",City/Town: Ogudu | LGA: Kosofe | Category: Tier 1 | Service: Optical,0,active
SPECMAKERS VISION AND EYE HEALTH CENTRE - Okota,Lagos,"BLOCK 7, FLAT 2 GODMON ESTATE 2/3 OKOTA ROAD, OKOTA ISOLO LAGOS",City/Town: Okota | LGA: Oshodi-Isolo | Category: Tier 1 | Service: Optical,0,active
